date,day,tempSkin,dailyrmssd,deeprmssd,restingHeartRate,breathingRate,spo2avg
2021-09-30,25,1.5,80.894,76.424,57,15.4,94.6
2021-10-03,28,0.1,57.908,46.137,58,14.2,94.4
2021-10-04,29,0.5,65.453,58.184,58,15.0,95.1
2021-10-06,31,0.7,57.619,50.259,58,15.6,95.9
2021-10-07,32,-0.5,64.212,53.507,58,15.2,93.8
2021-10-08,33,-1.9,59.633,71.611,58,14.4,93.1
2021-10-09,34,0.7,63.654,54.998,58,14.8,95.4
2021-10-10,35,1.2,65.257,60.728,58,15.0,93.9
2021-10-11,36,1.4,60.469,54.359,57,14.4,95.2
2021-10-15,3,0.4,76.477,72.069,55,15.6,94.6
2021-10-17,5,-1.3,82.936,103.479,55,15.6,94.1
2021-10-19,7,0.0,72.3,63.293,55,14.4,94.3
2021-10-21,9,0.4,76.399,69.238,56,15.4,94.2
2021-10-22,10,-0.1,71.137,66.1,55,15.4,91.5
2021-10-23,11,-1.8,73.935,58.841,55,15.2,95.5
2021-10-24,12,-0.2,69.997,69.592,55,15.0,93.0
2021-10-25,13,-0.3,69.017,68.72,56,15.6,92.4
2021-10-27,15,-0.0,77.188,77.342,55,15.0,93.8
2021-10-28,16,-1.4,70.367,66.659,55,14.8,94.8
2021-10-29,17,-0.8,75.88,79.605,54,15.2,93.3
2021-10-30,18,0.5,70.104,68.807,55,15.4,94.6
2021-10-31,19,1.3,66.55,52.764,55,11.2,94.6
2021-11-01,20,0.6,69.114,65.758,55,14.4,94.1
2021-11-04,23,0.5,61.202,63.616,57,15.4,95.4
2021-11-05,24,0.9,62.65,59.319,58,16.6,96.7
2021-11-06,25,-2.0,63.759,56.902,59,15.2,93.9
2021-11-07,26,1.2,68.619,69.286,58,14.2,95.6
2021-11-08,27,-1.0,75.125,59.74,58,15.2,93.6
2021-11-09,28,-1.2,68.448,63.949,59,14.8,96.2
2021-11-10,29,1.4,58.815,64.47,60,17.2,92.0
2021-11-12,1,0.4,72.901,75.123,60,15.4,90.6
2021-11-14,3,-1.1,57.002,57.579,62,15.8,93.2
2021-11-15,4,0.3,57.36,52.345,62,15.0,94.8
2021-11-16,5,0.2,56.625,65.053,61,14.8,94.3
2021-11-17,6,-0.1,73.894,66.038,60,15.8,96.3
