date,breathingRate
2021-03-18,13.6
2021-03-19,15.6
2021-03-20,16.8
2021-03-21,16.0
2021-03-22,14.8
2021-03-23,15.4
2021-03-24,16.2
2021-03-25,16.0
2021-03-26,15.4
2021-03-27,15.6
2021-03-28,14.8
2021-03-29,15.2
2021-03-30,15.2
2021-03-31,13.8
2021-04-01,15.0
2021-04-02,15.2
2021-04-03,15.4
2021-04-04,14.4
2021-04-05,14.4
2021-04-06,15.0
2021-04-07,14.8
2021-04-08,14.2
2021-04-09,14.8
2021-04-10,15.0
2021-04-11,15.0
2021-04-12,15.0
2021-04-13,16.8
2021-04-14,17.2
2021-04-15,16.2
2021-04-16,16.8
2021-04-17,15.8
2021-04-18,16.2
2021-04-19,15.4
2021-04-20,16.0
2021-04-21,16.0
2021-04-22,15.6
2021-04-23,15.2
2021-04-24,15.6
2021-04-25,14.4
2021-04-26,16.6
2021-04-27,13.4
2021-04-28,15.8
2021-04-29,15.4
2021-04-30,16.2
2021-05-01,16.0
2021-05-02,15.2
2021-05-03,14.8
2021-05-04,15.6
2021-05-05,15.4
2021-05-06,15.4
2021-05-07,15.6
2021-05-08,15.8
2021-05-09,15.6
2021-05-10,15.0
2021-05-11,15.6
2021-05-12,15.4
2021-05-13,13.8
2021-05-14,15.4
2021-05-15,15.4
2021-05-16,14.6
2021-05-17,15.4
2021-05-18,14.8
2021-05-19,14.4
2021-05-20,15.0
2021-05-21,14.6
2021-05-22,15.0
2021-05-23,12.8
2021-05-24,15.2
2021-05-25,15.0
2021-05-26,13.2
2021-05-27,14.8
2021-05-28,15.2
2021-05-29,14.8
2021-05-30,14.8
2021-05-31,15.2
2021-06-01,15.6
2021-06-02,15.4
2021-06-03,15.2
2021-06-04,14.6
2021-06-05,15.0
2021-06-06,15.8
2021-06-07,15.4
2021-06-08,14.8
2021-06-09,15.8
2021-06-10,15.4
2021-06-11,16.8
2021-06-12,16.2
2021-06-13,14.8
2021-06-14,15.4
2021-06-15,15.8
2021-06-16,14.4
2021-06-17,14.4
2021-06-18,15.0
2021-06-19,15.0
2021-06-20,14.8
2021-06-21,15.0
2021-06-22,15.6
2021-06-23,14.4
2021-06-24,15.0
2021-06-25,15.0
2021-06-27,14.8
2021-06-28,15.6
2021-06-29,15.2
2021-06-30,16.0
2021-07-01,15.8
2021-07-02,15.4
2021-07-03,15.6
2021-07-04,15.6
2021-07-05,14.8
2021-07-06,14.8
2021-07-07,15.4
2021-07-08,15.6
2021-07-09,15.8
2021-07-10,15.4
2021-07-11,16.4
2021-07-12,15.6
2021-07-13,15.8
2021-07-14,15.2
2021-07-15,16.0
2021-07-16,16.0
2021-07-17,15.2
2021-07-18,16.4
2021-07-19,16.8
2021-07-20,15.6
2021-07-21,15.0
2021-07-22,15.6
2021-07-23,15.4
2021-07-24,15.2
2021-07-25,15.0
2021-07-26,14.8
2021-07-27,16.2
2021-07-28,16.0
2021-07-29,16.0
2021-07-30,15.0
2021-07-31,15.8
2021-08-01,15.0
2021-08-02,15.4
2021-08-03,16.0
2021-08-04,16.0
2021-08-05,15.6
2021-08-06,15.8
2021-08-07,16.0
2021-08-08,15.2
2021-08-09,15.4
2021-08-10,15.8
2021-08-11,15.6
2021-08-12,16.4
2021-08-13,15.4
2021-08-14,14.6
2021-08-15,14.8
2021-08-16,15.8
2021-08-17,15.8
2021-08-18,16.0
2021-08-19,14.8
2021-08-20,15.2
2021-08-21,15.0
2021-08-22,14.2
2021-08-23,13.0
2021-08-24,14.4
2021-08-25,13.8
2021-08-26,14.8
2021-08-27,15.4
2021-08-28,14.6
2021-08-29,15.6
2021-08-30,14.2
2021-08-31,16.4
2021-09-01,16.2
2021-09-02,14.4
2021-09-03,16.8
2021-09-04,15.0
2021-09-05,15.4
2021-09-06,15.6
2021-09-07,14.0
2021-09-08,15.4
2021-09-09,15.6
2021-09-10,15.2
2021-09-11,14.4
2021-09-12,14.8
2021-09-13,15.0
2021-09-14,13.6
2021-09-15,14.6
2021-09-16,15.2
2021-09-17,14.8
2021-09-18,15.6
2021-09-19,15.6
2021-09-20,16.0
2021-09-21,14.6
2021-09-22,13.8
2021-09-23,14.2
2021-09-24,15.4
2021-09-25,15.6
2021-09-26,15.6
2021-09-27,15.4
2021-09-28,15.4
2021-09-29,15.4
2021-09-30,15.4
2021-10-01,15.0
2021-10-02,13.4
2021-10-03,14.2
2021-10-04,15.0
2021-10-05,14.6
2021-10-06,15.6
2021-10-07,15.2
2021-10-08,14.4
2021-10-09,14.8
2021-10-10,15.0
2021-10-11,14.4
2021-10-12,14.4
2021-10-13,15.4
2021-10-14,16.4
2021-10-15,15.6
2021-10-16,15.8
2021-10-17,15.6
2021-10-18,16.0
2021-10-19,14.4
2021-10-20,16.8
2021-10-21,15.4
2021-10-22,15.4
2021-10-23,15.2
2021-10-24,15.0
2021-10-25,15.6
2021-10-26,14.2
2021-10-27,15.0
2021-10-28,14.8
2021-10-29,15.2
2021-10-30,15.4
2021-10-31,11.2
2021-11-01,14.4
2021-11-02,14.4
2021-11-03,15.2
2021-11-04,15.4
2021-11-05,16.6
2021-11-06,15.2
2021-11-07,14.2
2021-11-08,15.2
2021-11-09,14.8
2021-11-10,17.2
2021-11-11,15.8
2021-11-12,15.4
2021-11-13,16.4
2021-11-14,15.8
2021-11-15,15.0
2021-11-16,14.8
2021-11-17,15.8
2021-11-18,15.8
2021-11-19,15.6
2021-11-20,15.6
2021-11-21,15.4
2021-11-22,15.2
2021-11-23,14.8
2021-11-24,15.0
2021-11-25,15.6
2021-11-26,14.6
2021-11-27,15.4
2021-11-28,14.2
2021-11-29,15.4
2021-11-30,14.8
2021-12-01,15.4
2021-12-02,14.6
2021-12-03,13.8
2021-12-04,14.4
2021-12-05,14.4
2021-12-06,15.4
2021-12-07,15.6
2021-12-08,15.8
2021-12-09,16.4
2021-12-10,15.8
2021-12-11,14.0
2021-12-12,15.8
2021-12-13,16.4
2021-12-14,16.0
2021-12-15,15.2
2021-12-16,16.0
2021-12-17,14.8
2021-12-18,14.0
2021-12-19,15.4
2021-12-20,15.2
2021-12-21,16.4
2021-12-22,14.4
2021-12-23,16.2
2021-12-24,16.4
2021-12-25,15.6
2021-12-26,16.4
2021-12-27,16.6
2021-12-28,11.8
2021-12-29,15.4
2021-12-30,15.6
2021-12-31,16.2
2022-01-01,15.4
2022-01-02,16.6
2022-01-03,14.6
2022-01-04,15.4
2022-01-05,15.2
2022-01-06,15.0
2022-01-07,14.4
2022-01-08,15.8
2022-01-09,15.4
2022-01-10,15.2
2022-01-11,15.6
2022-01-12,16.2
2022-01-13,16.0
2022-01-14,15.2
2022-01-15,15.2
2022-01-16,15.8
2022-01-17,14.6
2022-01-18,15.0
2022-01-19,14.0
2022-01-20,15.0
2022-01-21,14.2
2022-01-22,15.0
2022-01-23,15.6
2022-01-24,15.0
2022-01-25,15.8
2022-01-26,15.0
2022-01-27,15.8
2022-01-28,15.2
2022-01-29,16.0
2022-01-30,15.6
2022-01-31,15.2
2022-02-01,15.0
2022-02-02,16.4
2022-02-03,14.6
2022-02-04,14.8
2022-02-05,15.2
2022-02-06,16.0
2022-02-07,17.2
2022-02-08,17.2
2022-02-09,16.0
2022-02-10,16.2
2022-02-11,16.4
2022-02-12,16.2
2022-02-13,15.8
2022-02-14,15.8
2022-02-15,15.0
2022-02-16,16.2
2022-02-17,15.8
2022-02-18,15.4
2022-02-19,15.4
2022-02-20,15.8
2022-02-21,16.0
2022-02-22,14.6
2022-02-23,15.0
2022-02-24,16.0
2022-02-25,15.0
2022-02-26,14.4
2022-02-27,15.6
2022-02-28,15.8
2022-03-01,14.8
2022-03-02,14.8
2022-03-03,15.6
2022-03-04,15.0
2022-03-05,16.4
2022-03-06,15.2
2022-03-07,14.8
2022-03-08,15.2
