date,vo2Max
2016-12-25,41-45
2016-12-26,42-46
2016-12-27,42-46
2016-12-28,42-46
2016-12-29,42-46
2016-12-30,42-46
2016-12-31,42-46
2017-01-01,42-46
2017-01-02,42-46
2017-01-03,43-47
2017-01-04,43-47
2017-01-05,43-47
2017-01-06,43-47
2017-01-07,43-47
2017-01-08,45
2017-01-09,45
2017-01-10,45
2017-01-11,45
2017-01-12,45
2017-01-13,45
2017-01-14,45
2017-01-15,45
2017-01-16,45
2017-01-17,45
2017-01-18,45
2017-01-19,45
2017-01-20,45
2017-01-21,45
2017-01-22,45
2017-01-23,45
2017-01-24,45
2017-01-25,45
2017-01-26,45
2017-01-27,45
2017-01-28,45
2017-01-29,45
2017-01-30,45
2017-01-31,45
2017-02-01,45
2017-02-02,45
2017-02-03,45
2017-02-04,45
2017-02-05,46
2017-02-06,46
2017-02-07,46
2017-02-08,46
2017-02-09,46
2017-02-10,46
2017-02-11,46
2017-02-12,46
2017-02-13,46
2017-02-14,46
2017-02-15,46
2017-02-16,46
2017-02-17,45
2017-02-18,45
2017-02-19,44
2017-02-20,44
2017-02-21,44
2017-02-22,44
2017-02-23,44
2017-02-24,44
2017-02-25,44
2017-02-26,44
2017-02-27,44
2017-02-28,44
2017-03-01,44
2017-03-02,44
2017-03-03,44
2017-03-04,44
2017-03-05,44
2017-03-06,44
2017-03-07,44
2017-03-08,44
2017-03-09,44
2017-03-10,44
2017-03-11,44
2017-03-12,44
2017-03-13,44
2017-03-14,44
2017-03-15,44
2017-03-16,44
2017-03-17,44
2017-03-18,44
2017-03-19,44
2017-03-20,44
2017-03-21,44
2017-03-22,44
2017-03-23,44
2017-03-24,44
2017-03-25,44
2017-03-26,44
2017-03-27,44
2017-03-28,44
2017-03-29,44
2017-03-30,44
2017-03-31,44
2017-04-01,44
2017-04-02,44
2017-04-03,44
2017-04-04,44
2017-04-05,44
2017-04-06,44
2017-04-07,44
2017-04-08,44
2017-04-09,44
2017-04-10,44
2017-04-11,44
2017-04-12,44
2017-04-13,44
2017-04-14,44
2017-04-15,44
2017-04-16,44
2017-04-17,44
2017-04-18,44
2017-04-19,44
2017-04-20,44
2017-04-21,44
2017-04-22,44
2017-04-23,44
2017-04-24,44
2017-04-25,44
2017-04-26,44
2017-04-27,44
2017-04-28,44
2017-04-29,44
2017-04-30,44
2017-05-01,44
2017-05-02,44
2017-05-03,44
2017-05-04,44
2017-05-05,44
2017-05-06,44
2017-05-07,44
2017-05-08,44
2017-05-09,44
2017-05-10,44
2017-05-11,44
2017-05-12,44
2017-05-13,44
2017-05-14,44
2017-05-15,44
2017-05-16,44
2017-05-17,44
2017-05-18,44
2017-05-19,40-44
2017-05-20,40-44
2017-05-21,40-44
2017-05-22,40-44
2017-05-23,40-44
2017-05-24,40-44
2017-05-25,40-44
2017-05-26,41-45
2017-05-27,41-45
