date,dailyrmssd,deeprmssd
2021-03-18,44.818,0.0
2021-03-19,78.079,0.0
2021-03-20,60.329,0.0
2021-03-21,71.591,0.0
2021-03-22,89.445,0.0
2021-03-23,90.681,0.0
2021-03-24,93.75,0.0
2021-03-25,96.218,0.0
2021-03-26,95.497,0.0
2021-03-27,97.922,0.0
2021-03-28,100.766,0.0
2021-03-29,94.638,0.0
2021-03-30,92.861,90.54
2021-03-31,67.004,67.271
2021-04-01,82.523,64.681
2021-04-02,84.113,84.151
2021-04-03,84.817,84.995
2021-04-04,78.652,79.756
2021-04-05,88.845,74.651
2021-04-06,75.074,73.0
2021-04-07,72.304,67.102
2021-04-08,75.352,73.893
2021-04-09,67.114,53.048
2021-04-10,79.097,80.653
2021-04-11,53.213,46.223
2021-04-12,79.555,76.173
2021-04-13,44.378,43.72
2021-04-14,52.686,51.161
2021-04-15,44.416,44.184
2021-04-16,58.155,56.949
2021-04-17,71.869,75.558
2021-04-18,71.173,68.075
2021-04-19,82.974,73.528
2021-04-20,88.9,85.55
2021-04-21,86.285,80.503
2021-04-22,83.969,83.914
2021-04-23,81.032,89.657
2021-04-24,79.879,68.498
2021-04-25,84.482,84.644
2021-04-26,71.114,66.719
2021-04-27,71.843,66.545
2021-04-28,65.564,63.117
2021-04-29,64.175,64.23
2021-04-30,76.829,73.773
2021-05-01,87.277,86.021
2021-05-02,82.771,70.364
2021-05-03,81.45,84.129
2021-05-04,74.05,60.596
2021-05-05,76.163,83.142
2021-05-06,80.324,70.972
2021-05-07,80.153,76.402
2021-05-08,76.858,74.321
2021-05-09,83.063,78.25
2021-05-10,80.859,80.466
2021-05-11,77.962,82.5
2021-05-12,87.747,81.963
2021-05-13,89.847,83.653
2021-05-14,89.253,83.494
2021-05-15,92.964,93.197
2021-05-16,84.272,82.231
2021-05-17,87.491,82.144
2021-05-18,92.206,78.348
2021-05-19,83.241,81.022
2021-05-20,89.637,85.245
2021-05-21,95.719,93.534
2021-05-22,96.238,96.83
2021-05-23,96.144,95.475
2021-05-24,88.529,83.644
2021-05-25,79.045,70.586
2021-05-26,93.894,93.715
2021-05-27,91.602,82.934
2021-05-28,71.97,70.712
2021-05-29,78.792,89.406
2021-05-30,48.76,49.929
2021-05-31,66.157,52.776
2021-06-01,58.188,55.457
2021-06-02,57.499,55.127
2021-06-03,50.423,43.595
2021-06-04,55.124,51.353
2021-06-05,63.122,50.622
2021-06-06,57.833,50.371
2021-06-07,53.92,46.194
2021-06-08,59.01,57.215
2021-06-09,69.462,66.375
2021-06-10,58.504,55.56
2021-06-11,75.056,62.162
2021-06-12,52.302,49.889
2021-06-13,68.272,57.152
2021-06-14,72.524,62.007
2021-06-15,84.49,74.476
2021-06-16,80.967,71.834
2021-06-17,74.239,70.714
2021-06-18,84.446,83.428
2021-06-19,78.777,79.067
2021-06-20,74.184,82.047
2021-06-21,73.178,64.695
2021-06-22,79.733,72.524
2021-06-23,77.47,80.924
2021-06-24,81.108,71.513
2021-06-25,74.609,69.442
2021-06-27,78.718,68.966
2021-06-28,66.671,74.786
2021-06-29,66.064,51.915
2021-06-30,71.328,54.706
2021-07-01,65.79,58.109
2021-07-02,43.919,36.85
2021-07-03,65.571,51.983
2021-07-04,66.286,60.493
2021-07-05,62.007,58.065
2021-07-06,68.506,58.969
2021-07-07,52.762,50.314
2021-07-08,60.134,52.852
2021-07-09,54.882,51.876
2021-07-10,63.939,61.925
2021-07-11,29.016,21.845
2021-07-12,63.838,61.306
2021-07-13,75.744,77.466
2021-07-14,75.423,81.173
2021-07-15,59.327,54.87
2021-07-16,72.519,69.544
2021-07-17,39.495,35.254
2021-07-18,59.927,45.965
2021-07-19,45.106,40.613
2021-07-20,66.192,61.354
2021-07-21,75.588,61.904
2021-07-22,78.599,77.623
2021-07-23,82.317,78.883
2021-07-24,76.01,69.069
2021-07-25,68.733,68.282
2021-07-26,79.497,75.114
2021-07-27,63.076,61.474
2021-07-28,68.695,56.879
2021-07-29,58.168,56.547
2021-07-30,50.586,49.695
2021-07-31,54.831,43.603
2021-08-01,50.921,59.037
2021-08-02,56.912,47.282
2021-08-03,56.994,50.391
2021-08-04,67.425,66.129
2021-08-05,57.507,51.61
2021-08-06,61.909,65.45
2021-08-07,73.101,69.485
2021-08-08,82.043,81.029
2021-08-09,78.008,74.767
2021-08-10,71.651,61.333
2021-08-11,83.217,66.67
2021-08-12,79.245,62.301
2021-08-13,80.787,76.417
2021-08-14,29.219,25.493
2021-08-15,66.942,60.238
2021-08-16,77.952,71.932
2021-08-17,80.553,66.809
2021-08-18,72.424,58.738
2021-08-19,81.091,77.64
2021-08-20,67.911,66.177
2021-08-21,72.179,72.373
2021-08-22,79.323,78.966
2021-08-23,71.311,66.602
2021-08-24,80.492,71.363
2021-08-25,58.101,38.489
2021-08-26,67.086,66.087
2021-08-27,76.304,60.69
2021-08-28,73.591,67.385
2021-08-29,83.378,83.779
2021-08-30,75.7,75.658
2021-08-31,73.059,61.737
2021-09-01,70.908,76.545
2021-09-02,75.668,70.09
2021-09-03,57.377,59.604
2021-09-04,78.177,78.256
2021-09-05,75.235,64.485
2021-09-06,79.586,69.908
2021-09-07,62.074,60.683
2021-09-08,71.127,70.759
2021-09-09,81.454,73.384
2021-09-10,83.217,78.417
2021-09-11,79.912,68.132
2021-09-12,74.32,67.469
2021-09-13,71.522,65.826
2021-09-14,62.363,62.022
2021-09-15,78.59,75.8
2021-09-16,79.19,73.609
2021-09-17,74.391,74.373
2021-09-18,68.863,65.099
2021-09-19,66.138,66.172
2021-09-20,63.332,54.636
2021-09-21,66.653,61.825
2021-09-22,65.567,64.816
2021-09-23,47.939,48.287
2021-09-24,52.105,52.232
2021-09-25,67.573,67.816
2021-09-26,66.349,58.101
2021-09-27,72.85,66.528
2021-09-28,75.207,67.734
2021-09-29,74.126,71.135
2021-09-30,80.894,76.424
2021-10-01,80.434,74.121
2021-10-02,65.511,69.971
2021-10-03,57.908,46.137
2021-10-04,65.453,58.184
2021-10-05,60.32,58.702
2021-10-06,57.619,50.259
2021-10-07,64.212,53.507
2021-10-08,59.633,71.611
2021-10-09,63.654,54.998
2021-10-10,65.257,60.728
2021-10-11,60.469,54.359
2021-10-12,64.194,58.868
2021-10-13,73.118,70.582
2021-10-14,84.541,77.869
2021-10-15,76.477,72.069
2021-10-16,87.543,78.342
2021-10-17,82.936,103.479
2021-10-18,78.801,74.739
2021-10-19,72.3,63.293
2021-10-20,69.863,66.451
2021-10-21,76.399,69.238
2021-10-22,71.137,66.1
2021-10-23,73.935,58.841
2021-10-24,69.997,69.592
2021-10-25,69.017,68.72
2021-10-26,73.611,74.121
2021-10-27,77.188,77.342
2021-10-28,70.367,66.659
2021-10-29,75.88,79.605
2021-10-30,70.104,68.807
2021-10-31,66.55,52.764
2021-11-01,69.114,65.758
2021-11-02,67.199,59.388
2021-11-03,71.678,75.12
2021-11-04,61.202,63.616
2021-11-05,62.65,59.319
2021-11-06,63.759,56.902
2021-11-07,68.619,69.286
2021-11-08,75.125,59.74
2021-11-09,68.448,63.949
2021-11-10,58.815,64.47
2021-11-11,57.968,57.059
2021-11-12,72.901,75.123
2021-11-13,47.757,49.716
2021-11-14,57.002,57.579
2021-11-15,57.36,52.345
2021-11-16,56.625,65.053
2021-11-17,73.894,66.038
2021-11-18,68.47,55.627
2021-11-19,63.06,58.191
2021-11-20,70.605,59.641
2021-11-21,69.481,65.646
2021-11-22,77.743,75.597
2021-11-23,68.84,68.519
2021-11-24,83.612,83.214
2021-11-25,68.717,57.402
2021-11-26,73.491,69.348
2021-11-27,77.109,79.083
2021-11-28,59.462,58.205
2021-11-29,69.579,69.715
2021-11-30,60.89,61.131
2021-12-01,65.989,60.625
2021-12-02,64.087,63.29
2021-12-03,62.377,55.152
2021-12-04,60.606,53.969
2021-12-05,47.592,55.439
2021-12-06,54.955,50.115
2021-12-07,57.58,53.308
2021-12-08,53.485,47.257
2021-12-09,65.005,59.761
2021-12-10,66.271,63.759
2021-12-11,64.216,69.653
2021-12-12,68.315,62.414
2021-12-13,59.171,48.987
2021-12-14,67.837,51.687
2021-12-15,75.739,61.253
2021-12-16,67.159,53.184
2021-12-17,53.948,50.137
2021-12-18,56.801,64.317
2021-12-19,67.145,63.027
2021-12-20,67.174,58.489
2021-12-21,52.115,44.711
2021-12-22,68.927,68.007
2021-12-23,64.682,61.214
2021-12-24,63.242,60.28
2021-12-25,56.71,56.015
2021-12-26,55.927,51.552
2021-12-27,65.057,48.716
2021-12-28,54.402,41.875
2021-12-29,59.363,58.961
2021-12-30,54.664,54.036
