date,restingHeartRate
2016-12-25,66
2016-12-26,60
2016-12-27,60
2016-12-28,62
2016-12-29,62
2016-12-30,62
2016-12-31,62
2017-01-01,63
2017-01-02,61
2017-01-03,59
2017-01-04,60
2017-01-05,60
2017-01-06,60
2017-01-07,60
2017-01-08,60
2017-01-09,60
2017-01-10,60
2017-01-11,59
2017-01-12,60
2017-01-13,60
2017-01-14,62
2017-01-15,61
2017-01-16,64
2017-01-17,65
2017-01-18,62
2017-01-19,63
2017-01-20,63
2017-01-21,62
2017-01-22,61
2017-01-23,61
2017-01-24,62
2017-01-25,63
2017-01-26,63
2017-01-27,64
2017-01-28,64
2017-01-29,66
2017-01-30,66
2017-01-31,64
2017-02-01,63
2017-02-02,63
2017-02-03,62
2017-02-04,63
2017-02-05,62
2017-02-06,61
2017-02-07,61
2017-02-08,60
2017-02-09,61
2017-02-10,60
2017-02-11,62
2017-02-12,60
2017-02-13,60
2017-02-14,60
2017-02-15,59
2017-02-16,59
2017-02-17,59
2017-02-18,60
2017-02-19,60
2017-02-20,61
2017-02-21,61
2017-02-22,63
2017-02-23,63
2017-02-24,65
2017-02-25,66
2017-02-26,66
2017-02-27,65
2017-02-28,65
2017-03-01,66
2017-03-02,65
2017-03-03,63
2017-03-04,62
2017-03-05,61
2017-03-06,60
2017-03-07,59
2017-03-08,60
2017-03-09,60
2017-03-10,61
2017-03-11,60
2017-03-12,60
2017-03-13,60
2017-03-14,60
2017-03-15,58
2017-03-17,59
2017-03-18,60
2017-03-19,58
2017-03-20,59
2017-03-21,59
2017-03-22,60
2017-03-23,60
2017-03-24,61
2017-03-25,61
2017-03-26,62
2017-03-27,62
2017-03-28,61
2017-03-29,61
2017-03-30,62
2017-03-31,61
2017-04-01,63
2017-04-02,62
2017-04-03,60
2017-04-04,59
2017-04-05,59
2017-04-06,60
2017-04-07,61
2017-04-08,63
2017-04-09,62
2017-04-10,62
2017-04-11,59
2017-04-12,58
2017-04-13,58
2017-04-14,59
2017-04-15,60
2017-04-16,59
2017-04-17,59
2017-04-18,60
2017-04-19,61
2017-04-20,61
