date,spo2avg
2021-09-30,94.6
2021-10-03,94.4
2021-10-04,95.1
2021-10-06,95.9
2021-10-07,93.8
2021-10-08,93.1
2021-10-09,95.4
2021-10-10,93.9
2021-10-11,95.2
2021-10-15,94.6
2021-10-17,94.1
2021-10-19,94.3
2021-10-21,94.2
2021-10-22,91.5
2021-10-23,95.5
2021-10-24,93.0
2021-10-25,92.4
2021-10-27,93.8
2021-10-28,94.8
2021-10-29,93.3
2021-10-30,94.6
2021-10-31,94.6
2021-11-01,94.1
2021-11-04,95.4
2021-11-05,96.7
2021-11-06,93.9
2021-11-07,95.6
2021-11-08,93.6
2021-11-09,96.2
2021-11-10,92.0
2021-11-12,90.6
2021-11-14,93.2
2021-11-15,94.8
2021-11-16,94.3
2021-11-17,96.3
2021-11-18,91.5
2021-11-19,95.9
2021-11-21,94.5
2021-11-22,94.4
2021-11-23,92.6
2021-11-26,93.3
2021-11-27,91.2
2021-11-28,93.4
2021-11-29,94.9
2021-12-01,96.0
2021-12-03,93.9
2021-12-04,95.3
2021-12-05,95.7
2021-12-06,95.7
2021-12-07,96.0
2021-12-08,95.4
2021-12-09,93.2
2021-12-10,94.9
2021-12-12,94.4
2021-12-13,96.8
2021-12-17,94.2
2021-12-18,94.9
2021-12-19,95.4
2021-12-20,94.4
2021-12-21,95.5
2021-12-22,92.6
2021-12-24,96.3
2021-12-25,93.9
2021-12-27,92.2
2021-12-28,91.8
2021-12-29,93.5
2021-12-31,93.0
2022-01-01,95.7
2022-01-02,93.7
2022-01-03,93.1
2022-01-04,94.4
2022-01-06,94.5
2022-01-07,94.3
2022-01-08,93.7
2022-01-09,93.8
2022-01-10,94.3
2022-01-11,97.8
2022-01-12,95.3
2022-01-13,93.8
2022-01-14,94.3
2022-01-15,96.6
2022-01-16,93.6
2022-01-17,94.7
2022-01-18,95.0
2022-01-20,95.3
2022-01-21,92.9
2022-01-22,95.3
2022-01-24,96.1
2022-01-25,95.2
2022-01-26,93.6
2022-01-27,92.2
2022-01-28,92.2
2022-01-29,93.2
2022-01-31,93.6
2022-02-01,93.7
2022-02-03,92.3
2022-02-04,95.0
2022-02-05,94.8
2022-02-06,95.4
2022-02-07,94.8
2022-02-09,94.2
2022-02-10,94.9
2022-02-11,95.5
2022-02-12,93.1
2022-02-13,92.0
2022-02-14,93.7
2022-02-15,95.1
2022-02-16,94.5
2022-02-17,95.9
2022-02-18,93.7
2022-02-19,95.5
2022-02-20,94.5
2022-02-21,93.0
2022-02-22,95.0
2022-02-23,94.0
2022-02-24,93.1
2022-02-26,96.6
2022-02-27,95.4
2022-02-28,93.4
2022-03-01,93.9
2022-03-02,95.1
2022-03-03,94.3
2022-03-06,93.2
2022-03-07,93.7
2022-03-08,93.7
2022-03-11,93.4
2022-03-12,94.6
2022-03-13,92.2
2022-03-14,93.3
2022-03-15,93.4
2022-03-16,90.9
2022-03-17,94.1
2022-03-18,96.4
2022-03-19,92.8
2022-03-20,94.0
2022-03-21,95.8
2022-03-22,95.1
